iter	RMSE
0	0.38192349
1	0.3702587806
2	0.35929914
3	0.3485080857
4	0.337638657
5	0.3268773756
6	0.317821557
7	0.3081163084
8	0.2992146668
9	0.2924208795
10	0.2838477228
11	0.2767322408
12	0.2690405481
13	0.2622564993
14	0.2558361192
15	0.2499154956
16	0.2438647318
17	0.2380348283
18	0.2319638566
19	0.2270144017
20	0.2221618334
21	0.2177035908
22	0.2134078926
23	0.2090790916
24	0.20475391
25	0.2004707857
26	0.19717092
27	0.1934103633
28	0.1901688344
29	0.1873814382
30	0.1844638635
31	0.1816279987
32	0.1788395114
33	0.1762880207
34	0.1738830462
35	0.1712828252
36	0.1689871774
37	0.1668764864
38	0.1649365584
39	0.1631611658
40	0.161264396
41	0.1594181219
42	0.1576404948
43	0.1558004173
44	0.1542342096
45	0.1526762962
46	0.1512887243
47	0.1497857783
48	0.1485263893
49	0.1470306916
50	0.1459612546
51	0.1445436408
52	0.1431947324
53	0.1419256104
54	0.1407642107
55	0.1396517193
56	0.1385781674
57	0.1376764496
58	0.1366611391
59	0.1355355338
60	0.1348763012
61	0.1340518586
62	0.1332437927
63	0.1324894352
64	0.131783711
65	0.1309352268
66	0.1301943712
67	0.1293790872
68	0.1286334183
69	0.1278939271
70	0.1271983827
71	0.1263220277
72	0.1256763304
73	0.1249847883
74	0.1242586569
75	0.1236470518
76	0.1231630406
77	0.1228050254
78	0.1223191994
79	0.1217620614
80	0.121309838
81	0.1207780368
82	0.1203479436
83	0.1199128884
84	0.119598032
85	0.1191392863
86	0.1188341049
87	0.1183400987
88	0.1179860551
89	0.1174258307
90	0.1170447755
91	0.1165565659
92	0.1162090482
93	0.1157931951
94	0.1154254194
95	0.1151008603
96	0.1147166985
97	0.1143250693
98	0.1139417727
99	0.113547821
100	0.1130705702
101	0.1127879361
102	0.1125411604
103	0.1122390371
104	0.1118830613
105	0.1115181496
106	0.1112872324
107	0.1108453532
108	0.1105143998
109	0.1102812567
110	0.1098920749
111	0.1095089399
112	0.109312059
113	0.1089726282
114	0.108706083
115	0.1083622611
116	0.1082220268
117	0.1079484049
118	0.107652293
119	0.1073767742
120	0.1069522699
121	0.1066952679
122	0.1065016098
123	0.1062343939
124	0.1059918525
125	0.1058147378
126	0.1056715909
127	0.1054597827
128	0.1053103109
129	0.1050761029
130	0.1048651593
131	0.1046293218
132	0.1044254228
133	0.1042162352
134	0.1039707026
135	0.1037388093
136	0.1036405405
137	0.1033600099
138	0.1031487564
139	0.1029338829
140	0.1027551945
141	0.1025993157
142	0.1023441623
143	0.1021204723
144	0.1019289456
145	0.1017229319
146	0.1015277647
147	0.1014010946
148	0.1011855964
149	0.1010784761
150	0.1008205334
151	0.1006011988
152	0.1003982768
153	0.1001502208
154	0.09997111153
155	0.09982401099
156	0.09976853096
157	0.09964229353
158	0.09945915411
159	0.0992661657
160	0.09908321684
161	0.09882418172
162	0.09866154223
163	0.09851519938
164	0.09842188666
165	0.09827286344
166	0.09803934023
167	0.09787844593
168	0.09775390364
169	0.09757683299
170	0.09749802443
171	0.09729739025
172	0.09720062325
173	0.0971174791
174	0.09697795872
175	0.0967256829
176	0.09654281828
177	0.09632377849
178	0.09617300411
179	0.09606724523
180	0.09591839815
181	0.09580221475
182	0.09565321114
183	0.09550248482
184	0.09532705084
185	0.09518458041
186	0.09498555568
187	0.09484414581
188	0.09467946398
189	0.0944995107
190	0.09443219998
191	0.09431434052
192	0.09417953492
193	0.09399737199
194	0.09388804661
195	0.09371307285
196	0.09358342578
197	0.09342158072
198	0.09327182749
199	0.09302929544
200	0.09284657422
201	0.09270679408
202	0.09258648386
203	0.09246299952
204	0.09233802117
205	0.09220209087
206	0.09205608216
207	0.09199073287
208	0.09183691367
209	0.09167968747
210	0.0915598303
211	0.09139614912
212	0.09133839599
213	0.0911881693
214	0.09099566251
215	0.09088628672
216	0.09073511913
217	0.0906468614
218	0.09052062998
219	0.09043740844
220	0.09036372373
221	0.09022938111
222	0.09001334612
223	0.08988594131
224	0.08972319917
225	0.08963566298
226	0.08952787545
227	0.08935893298
228	0.0893049323
229	0.08922269235
230	0.08914693226
231	0.08906862542
232	0.08892095847
233	0.08887820035
234	0.08879145848
235	0.08874946578
236	0.08852065562
237	0.08838099083
238	0.08826940918
239	0.088151739
240	0.0880795623
241	0.08795627361
242	0.08782385506
243	0.08778587323
244	0.08765645011
245	0.08755860917
246	0.08741394698
247	0.08734171373
248	0.08726452559
249	0.08712570012
250	0.0870892939
251	0.08694856395
252	0.08689361616
253	0.08685486613
254	0.08675715877
255	0.08666323317
256	0.08650078089
257	0.08637062674
258	0.08621879632
259	0.08618251582
260	0.08607224469
261	0.0860033085
262	0.08594412319
263	0.08585581625
264	0.08579560674
265	0.08565394597
266	0.08552142936
267	0.08541658969
268	0.08527843237
269	0.08523020702
270	0.08516533428
271	0.08513092893
272	0.08500169122
273	0.08480748613
274	0.08477189822
275	0.08460379087
276	0.08445205906
277	0.08435064788
278	0.08426689731
279	0.08419024754
280	0.08399879977
281	0.08388944144
282	0.08385656155
283	0.08372609327
284	0.08367657335
285	0.08360545485
286	0.08353385952
287	0.08341612908
288	0.08328637034
289	0.08314352337
290	0.08305803873
291	0.08295574909
292	0.08281505342
293	0.08269377428
294	0.08261477309
295	0.0825024216
296	0.08246868535
297	0.08244484132
298	0.08241506332
299	0.08233639614
300	0.0822609789
301	0.08213180102
302	0.08206657687
303	0.08201077302
304	0.08189417221
305	0.08175356418
306	0.08170780547
