iter	Passed	Remaining
0	0	446
1	0	440
2	1	437
3	1	436
4	2	434
5	2	438
6	3	444
7	3	446
8	4	443
9	4	438
10	4	434
11	5	435
12	5	433
13	6	432
14	6	434
15	7	431
16	7	429
17	7	429
18	8	431
19	8	431
20	9	429
21	9	429
22	10	428
23	10	428
24	10	427
25	11	427
26	11	426
27	12	425
28	12	425
29	13	424
30	13	424
31	13	423
32	14	422
33	14	421
34	15	420
35	15	418
36	16	418
37	16	419
38	17	419
39	17	420
40	17	420
41	18	419
42	18	419
43	19	420
44	19	419
45	20	419
46	20	418
47	21	418
48	21	418
49	22	418
50	22	423
51	23	427
52	23	426
53	24	425
54	24	424
55	25	423
56	25	422
57	25	422
58	26	424
59	27	424
60	27	424
61	28	424
62	28	426
63	29	428
64	29	427
65	30	426
66	30	425
67	31	425
68	31	425
69	31	424
70	32	423
71	32	422
72	33	421
73	33	421
74	34	420
75	34	420
76	34	419
77	35	418
78	35	417
79	36	416
80	36	415
81	37	414
82	37	414
83	37	413
84	38	412
85	38	412
86	39	411
87	39	411
88	40	410
89	40	409
90	41	409
91	41	409
92	41	408
93	42	408
94	42	407
95	43	406
96	43	405
97	43	404
98	44	404
99	44	403
100	45	402
101	45	403
102	46	408
103	47	407
104	47	407
105	48	411
106	49	411
107	49	411
108	50	410
109	50	410
110	51	409
111	51	409
112	51	408
113	52	407
114	52	406
115	53	405
116	53	405
117	54	404
118	54	404
119	55	403
120	55	403
121	56	407
122	57	408
123	57	409
124	58	410
125	59	411
126	59	410
127	60	409
128	60	408
129	60	408
130	61	407
131	61	406
132	62	405
133	62	404
134	62	403
135	63	402
136	63	401
137	64	400
138	64	399
139	64	399
140	65	398
141	65	397
142	66	396
143	66	395
144	66	394
145	67	393
146	67	393
147	68	392
148	68	391
149	68	390
150	69	389
151	69	389
152	70	388
153	70	387
154	71	387
155	71	386
156	71	386
157	72	386
158	73	387
159	73	387
160	74	387
161	74	386
162	75	385
163	75	384
164	75	384
165	76	384
166	77	384
167	77	385
168	78	384
169	78	383
170	79	383
171	79	382
172	79	381
173	80	380
174	80	379
175	80	379
176	81	380
177	82	379
178	82	378
179	83	378
180	83	377
181	83	377
182	84	376
183	84	375
184	85	375
185	85	374
186	85	373
187	86	372
188	86	372
189	87	372
190	87	371
